D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Mai Tai	Mai Tai	Death & Co	El Dorado 15-Year Rum	1	oz
D&C Mai Tai	Mai Tai	Death & Co	Appleton Estate V/X Rum	1	oz
D&C Mai Tai	Mai Tai	Death & Co	La Favorite Rhum Agricole Blanc	.25	oz
D&C Mai Tai	Mai Tai	Death & Co	Rhum Clément Créole Shrubb	.5	oz
D&C Mai Tai	Mai Tai	Death & Co	Orgeat	.75	oz
D&C Mai Tai	Mai Tai	Death & Co	Angostura Bitters	1	dash
D&C Mai Tai	Mai Tai	Death & Co	Mint	1	bouquet
D&C Manhattan	Manhattan	Death & Co	Rittenhouse Bonded Rye Whiskey  2.5	oz
D&C Manhattan	Manhattan	Death & Co	House Sweet Vermouth	.75	oz
D&C Manhattan	Manhattan	Death & Co	Angostura Bitters	2	dash
D&C Manhattan	Manhattan	Death & Co	Brandied Cherry	1	unit
D&C Margarita	Margarita	Death & Co	Kosher Salt	1	half rim
D&C Margarita	Margarita	Death & Co	Siembra Azul Blanco Tequila	2	oz
D&C Margarita	Margarita	Death & Co	Cointreau Liqueur	.75	oz
D&C Margarita	Margarita	Death & Co	Lime	1	oz
D&C Margarita	Margarita	Death & Co	Agave Nectar	.25	oz
D&C Martinez	Martinez	Death & Co	Hayman’s Old Tom Gin	1.5	oz
D&C Martinez	Martinez	Death & Co	Ransom Old Tom Gin	.5	oz
D&C Martinez	Martinez	Death & Co	House Sweet Vermouth	1	oz
D&C Martinez	Martinez	Death & Co	Luxardo Maraschino Liqueur	.5	tsp
D&C Martinez	Martinez	Death & Co	Massenez Kirsch Vieux Cherry Brandy	.5	tsp
D&C Martinez	Martinez	Death & Co	House Orange Bitters	1	dash
D&C Martinez	Martinez	Death & Co	Lemon	1	twist
D&C Martini	Martini	Death & Co	Tanqueray No. 10 Gin	2.5	oz
D&C Martini	Martini	Death & Co	Dolin Dry Vermouth	.75	oz
D&C Martini	Martini	Death & Co	House Orange Bitters	1	dash
D&C Martini	Martini	Death & Co	Lemon	1	twist
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Tapatio 110 Blanco Tequila	1.5	oz
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Lime	.75	oz
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Simple Syrup	.5	oz
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Grenadine	.25	oz
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Bittermens Hellfire Habanero Shrub	2	dash
D&C Mexican Firing Squad	Mexican Firing Squad	Death & Co	Cherry	1	unit
D&C Mintjulep	Mintjulep	Death & Co	Baker’s Bourbon Whiskey	2	oz
D&C Mintjulep	Mintjulep	Death & Co	Simple Syrup	.25	oz
D&C Mintjulep	Mintjulep	Death & Co	Mint	1	bouquet
D&C Mojito	Mojito	Death & Co	Mint	6	leaves
D&C Mojito	Mojito	Death & Co	Simple Syrup	.75	oz
D&C Mojito	Mojito	Death & Co	Caña Brava Rum	2	oz
D&C Mojito	Mojito	Death & Co	Lime	1	oz
D&C Mojito	Mojito	Death & Co	Angostura Bitters	2	drop
D&C Moscow Mule	Moscow Mule	Death & Co	Charbay Vodka	2	oz
