D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Cointreau Liqueur	1	oz
SE Calvados Sidecar	Calvados Sidecar	Speakeasy	Orange	1	twist
SE Sidecar	Sidecar	Speakeasy	Lemon	1	wedge
SE Sidecar	Sidecar	Speakeasy	Lemon	1	oz
SE Sidecar	Sidecar	Speakeasy	Superfine Sugar	1	rim
SE Sidecar	Sidecar	Speakeasy	Courvoisier VS Cognac	1.25	oz
SE Sidecar	Sidecar	Speakeasy	Cointreau Liqueur	1.25	oz
SE Sidecar	Sidecar	Speakeasy	Orange	1	twist
SE Mediterra	Mediterra	Speakeasy	Luksusowa Potato Vodka	2	oz
SE Mediterra	Mediterra	Speakeasy	Honey Syrup	1	oz
SE Mediterra	Mediterra	Speakeasy	Fig Purée	.75	oz
SE Mediterra	Mediterra	Speakeasy	Lemon	.5	oz
SE Bee’s Knees	Bee’s Knees	Speakeasy	Cadenhead’s Old Raj Gin 55	2	oz
SE Bee’s Knees	Bee’s Knees	Speakeasy	Honey Syrup	1	oz
SE Bee’s Knees	Bee’s Knees	Speakeasy	Lemon	.75	oz
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Pimm’s No. 1 Cup Liqueur	2	oz
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Cointreau Liqueur	.75	oz
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Lime	.75	oz
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Cucumber	3	slices
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Mint	6	leaves
SE Pimm’s Cup	Pimm’s Cup	Speakeasy	Ginger Ale	1	oz
SE Classic Pimm’s Cup	Classic Pimm’s Cup	Speakeasy	Pimm’s No. 1 Cup Liqueur	2	oz
SE Classic Pimm’s Cup	Classic Pimm’s Cup	Speakeasy	Cucumber	3	slices
SE Classic Pimm’s Cup	Classic Pimm’s Cup	Speakeasy	Mint	6	leaves
SE Classic Pimm’s Cup	Classic Pimm’s Cup	Speakeasy	Lemon-Lime Soda	3	oz
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Pisco Capel Reservado Brandy	2	oz
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Simple Syrup	.75	oz
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Lemon	.75	oz
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Orange	.5	oz
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Egg	1	white
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Angostura Bitters	3	dash
SE Gringo Pisco Sour	Gringo Pisco Sour	Speakeasy	Brandied Cherry	1	unit
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Barsol Pisco Quebranta Brandy	2	oz
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Lime	.75	oz
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Simple Syrup	.75	oz
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Egg	1	white
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Angostura Bitters	3	drops
SE Peruvian Pisco Sour	Peruvian Pisco Sour	Speakeasy	Nutmeg	1	grating
SE Pisco Punch	Pisco Punch	Speakeasy	Pineapple	2	1-inch cube
SE Pisco Punch	Pisco Punch	Speakeasy	Pineapple Syrup	1.5	oz
SE Pisco Punch	Pisco Punch	Speakeasy	Barsol Pisco Quebranta Brandy	2	oz
SE Pisco Punch	Pisco Punch	Speakeasy	Lemon	.5	oz
SE Pisco Punch	Pisco Punch	Speakeasy	Lime	.5	oz
SE Pisco Punch	Pisco Punch	Speakeasy	Bitter Truth Celery Bitters	5	drop
SE Quiet Storm	Quiet Storm	Speakeasy	Maker’s Mark Bourbon Whiskey	1.5	oz
SE Quiet Storm	Quiet Storm	Speakeasy	Red Bush–Infused Dolin Blanc Sweet Vermouth	1	oz
SE Quiet Storm	Quiet Storm	Speakeasy	Lemon	.75	oz
SE Quiet Storm	Quiet Storm	Speakeasy	Simple Syrup	.5	oz
SE Quiet Storm	Quiet Storm	Speakeasy	Ginger Beer	3	oz
SE Quiet Storm	Quiet Storm	Speakeasy	Mint	1	sprig
SE Dark And Stormy	Dark And Stormy	Speakeasy	John D. Taylor’s Velvet Falernum Liqueur	.5	oz
SE Dark And Stormy	Dark And Stormy	Speakeasy	Lime	.5	oz
SE Dark And Stormy	Dark And Stormy	Speakeasy	Ginger Beer	4	oz
SE Dark And Stormy	Dark And Stormy	Speakeasy	Gosling’s Black Seal Rum	2	oz
SE Moscow Mule	Moscow Mule	Speakeasy	Smirnoff Vodka	2	oz
SE Moscow Mule	Moscow Mule	Speakeasy	Lime	.5	oz
SE Moscow Mule	Moscow Mule	Speakeasy	Ginger Beer	4.5	oz
SE Ruby Tuesday	Ruby Tuesday	Speakeasy	Wild Turkey 101-proof Rye Whiskey	1.5	oz
SE Ruby Tuesday	Ruby Tuesday	Speakeasy	Bénédictine Liqueur	1	oz
SE Ruby Tuesday	Ruby Tuesday	Speakeasy	Lemon	.75	oz
SE Ruby Tuesday	Ruby Tuesday	Speakeasy	Simple Syrup	.5	oz
SE Ruby Tuesday	Ruby Tuesday	Speakeasy	Black Cherry Purée	.75	oz
SE Frisco Sour	Frisco Sour	Speakeasy	Sazerac 6-Year Rye Whiskey	2	oz
SE Frisco Sour	Frisco Sour	Speakeasy	Bénédictine Liqueur	1	oz
SE Frisco Sour	Frisco Sour	Speakeasy	Lemon	.75	oz
SE Frisco Sour	Frisco Sour	Speakeasy	Lime	.5	oz
SE Frisco Sour	Frisco Sour	Speakeasy	Simple Syrup	1	splash
SE Frisco Sour	Frisco Sour	Speakeasy	Brandied Cherry	1	unit
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Plymouth Gin	1.75	oz
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Egg	1	white
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Lemon	.75	oz
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Simple Syrup	.5	oz
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Regan’s Orange Bitters	1	dash
SE Steve-o’s Tuxedo	Steve-o’s Tuxedo	Speakeasy	Orange	1	twist
SE White Lady	White Lady	Speakeasy	Plymouth Gin	1.75	oz
SE White Lady	White Lady	Speakeasy	Cointreau Liqueur	1.25	oz
SE White Lady	White Lady	Speakeasy	Lemon	1	oz
SE White Lady	White Lady	Speakeasy	Orange	1	twist
SE Waterloo	Waterloo	Speakeasy	Watermelon	4	2 inch chunk
SE Waterloo	Waterloo	Speakeasy	Simple Syrup	.75	oz
SE Waterloo	Waterloo	Speakeasy	Plymouth Gin	1.5	oz
SE Waterloo	Waterloo	Speakeasy	Lemon	.5	oz
SE Waterloo	Waterloo	Speakeasy	Campari Liqueur	.5	oz
SE West Side	West Side	Speakeasy	Charbay Meyer Lemon Vodka	2	oz
SE West Side	West Side	Speakeasy	Lemon	1	oz
SE West Side	West Side	Speakeasy	Simple Syrup	.5	oz
SE West Side	West Side	Speakeasy	Mint	15	leaves
SE West Side	West Side	Speakeasy	Club Soda	1	splash
SE South Side	South Side	Speakeasy	Plymouth Gin	2	oz
SE South Side	South Side	Speakeasy	Lemon	1	oz
SE South Side	South Side	Speakeasy	Simple Syrup	.5	oz
SE South Side	South Side	Speakeasy	Mint	2	sprigs
SE South Side	South Side	Speakeasy	Club Soda	1	splash
SE Yellow Jacket	Yellow Jacket	Speakeasy	Partida Reposado Tequila	2	oz
SE Yellow Jacket	Yellow Jacket	Speakeasy	St-Germain Elderflower Liqueur	1	oz
SE Yellow Jacket	Yellow Jacket	Speakeasy	Yellow Chartreuse Liqueur	.75	oz
SE Yellow Jacket	Yellow Jacket	Speakeasy	Regan’s Orange Bitters	1	dash
SE Yellow Jacket	Yellow Jacket	Speakeasy	Lemon	1	twist
SE Bellini	Bellini	Speakeasy	White Peach Purée	1	oz
SE Bellini	Bellini	Speakeasy	Zardetto Prosecco	4.5	oz
SE Bellini	Bellini	Speakeasy	Massenez Crème de Pêche Liqueur	.5	oz
SE Blood Peach Bellini	Blood Peach Bellini	Speakeasy	White Peach Purée	1	oz
SE Blood Peach Bellini	Blood Peach Bellini	Speakeasy	Grenadine	.25	oz
SE Blood Peach Bellini	Blood Peach Bellini	Speakeasy	Prosecco	4.5	oz
SE Blood Peach Bellini	Blood Peach Bellini	Speakeasy	Campari Liqueur	.25	oz
SE Bloody Mary	Bloody Mary	Speakeasy	Russian Standard Vodka	2	oz
SE Bloody Mary	Bloody Mary	Speakeasy	Bloody Mary Mix	5	oz
SE Bloody Mary	Bloody Mary	Speakeasy	Lemon	.5	oz
SE Bloody Mary	Bloody Mary	Speakeasy	Celery	1	stalk
SE Bloody Mary	Bloody Mary	Speakeasy	Vegetable Skewer	1	unit
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Green Chartreuse Liqueur	.5	oz
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Club Soda	1	oz
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Martin Miller’s Westbourne Strength 100-proof Gin	1.75	oz
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Lemon	1	oz
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Simple Syrup	.75	oz
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Orange Flower Water	5	drops
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Egg	1	white
SE Mid-morning Fizz	Mid-morning Fizz	Speakeasy	Orange	1	half-wheel
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Club Soda	1	oz
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Martin Miller’s Westbourne Strength 100-proof Gin	1.75	oz
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Lemon	1	oz
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Simple Syrup	.75	oz
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Orange Flower Water	5	drop
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Egg	1	white
SE Ramos Gin Fizz	Ramos Gin Fizz	Speakeasy	Heavy Cream	.75	oz
SE Widow’s Kiss	Widow’s Kiss	Speakeasy	Daron Fine Calvados Brandy	1.5	oz
SE Widow’s Kiss	Widow’s Kiss	Speakeasy	Yellow Chartreuse Liqueur	1.25	oz
SE Widow’s Kiss	Widow’s Kiss	Speakeasy	Bénédictine Liqueur	1.25	oz
SE Widow’s Kiss	Widow’s Kiss	Speakeasy	Angostura Bitters	1	dash
SE Widow’s Kiss	Widow’s Kiss	Speakeasy	Lemon	1	twist
SE The Last Word	The Last Word	Speakeasy	Beefeater 24 Gin	1	oz
SE The Last Word	The Last Word	Speakeasy	Green Chartreuse Liqueur	1	oz
SE The Last Word	The Last Word	Speakeasy	Luxardo Maraschino Liqueur	1	oz
SE The Last Word	The Last Word	Speakeasy	Lime	1	oz
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Mint	35	leaves
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Pimm’s No. 1 Cup Liqueur	2	cup
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Cointreau Liqueur	.75	cup
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Lime	.75	cup
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Cucumber	20	slices
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Strawberry	10	quartered
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Apple	.5	sliced
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Bartlett Pear	.5	sliced
SE Pimm’s Fruit Cup	Pimm’s Fruit Cup	Speakeasy	Ginger Ale	2	cups
SE West Side Punch	West Side Punch	Speakeasy	Mint	30	leaves
SE West Side Punch	West Side Punch	Speakeasy	Charbay Meyer Lemon Vodka	1.75	cup
SE West Side Punch	West Side Punch	Speakeasy	Lemon	1	cup
SE West Side Punch	West Side Punch	Speakeasy	Simple Syrup	.66	cup
SE West Side Punch	West Side Punch	Speakeasy	Club Soda	1	cup
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Decorative Ice Block	1	unit
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Fuji Apple	6	diced
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Bartlett Pear	6	diced
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Lemon	6	entire, half-wheeled
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Lime	6	entire, half-wheeled
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Smith & Cross Jamaican Rum	3	cup
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Laird’s AppleJack Brandy	1	quart
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Water	2	quart
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Massenez Crème de Pêche Liqueur	.75	cup
SE Jersey City Fish House Punch	Jersey City Fish House Punch	Speakeasy	Lemon	1	quart
SE Gin Punch	Gin Punch	Speakeasy	Decorative Ice Block	1	unit
SE Gin Punch	Gin Punch	Speakeasy	Navel Orange	6	entire, quarter-wheeled
SE Gin Punch	Gin Punch	Speakeasy	Lemon	6	entire, half-wheeled
SE Gin Punch	Gin Punch	Speakeasy	Lime	3	entire, wheeled
SE Gin Punch	Gin Punch	Speakeasy	Raspberry	1	pint
SE Gin Punch	Gin Punch	Speakeasy	Pineapple	1	entire, 1-inch cubed
SE Gin Punch	Gin Punch	Speakeasy	Plymouth Gin	1	bottle
SE Gin Punch	Gin Punch	Speakeasy	Lemon	1.75	cup
SE Gin Punch	Gin Punch	Speakeasy	Simple Syrup	1.25	cup
SE Gin Punch	Gin Punch	Speakeasy	Orgeat	.5	cup
SE Gin Punch	Gin Punch	Speakeasy	Massenez Crème de Framboise Liqueur	1	cup
SE Gin Punch	Gin Punch	Speakeasy	Water	3	cup
SE Gin Punch	Gin Punch	Speakeasy	Perrier-Jouët Grand Brut Champagne	1	bottle
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Water	2	cup
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Sugar	1	cup
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Clove	2	unit
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Cinnamon Stick	2	unit
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Star Anise	2	unit
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Vanilla Bean	1	split
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Ginger	3	slices
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Rioja Wine	1	bottle
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Orange	1	cup
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Orange	1	entire, wheeled
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Lime	.125	cup
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Lemon	1	entire, wheeled
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Honeydew Melon	1	cup (seeded/cubed)
SE Spiced Sangria Roja	Spiced Sangria Roja	Speakeasy	Red Grape	1	cup (halved)
SE Sangria Blanca	Sangria Blanca	Speakeasy	Portuguese Vinho Verde Wine	1	bottle
SE Sangria Blanca	Sangria Blanca	Speakeasy	Simple Syrup	.75	cup
SE Sangria Blanca	Sangria Blanca	Speakeasy	Massenez Crème de Pêche Liqueur	.75	cup
SE Sangria Blanca	Sangria Blanca	Speakeasy	Lemon	.25	cup
SE Sangria Blanca	Sangria Blanca	Speakeasy	Cantaloupe	1	cup (seeded and cubed)
SE Sangria Blanca	Sangria Blanca	Speakeasy	Peach	1	cup (sliced)
SE Sangria Blanca	Sangria Blanca	Speakeasy	Green Grape	1	cup (halved)
SE Sangria Blanca	Sangria Blanca	Speakeasy	Red Grape	1	cup
PDT #8	#8	The PDT Cocktail Book	Don Julio Reposado Tequila	2	oz
PDT #8	#8	The PDT Cocktail Book	Lustau Palo Cortado Sherry	.75	oz
PDT #8	#8	The PDT Cocktail Book	Bärenjäger Liqueur	.5	oz
PDT #8	#8	The PDT Cocktail Book	House Orange Bitters	2	dash
PDT #8	#8	The PDT Cocktail Book	Lemon	1	twist
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Hine V.S.O.P. Cognac	1	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Ginger Beer	1	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Martini Sweet Vermouth	.75	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Marie Brizard Orange Curaçao Liqueur	.5	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Cherry Heering Liqueur	.5	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Lemon	.5	oz
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Mint	5	leaves
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Cucumber	2	slices
PDT #3 Cup	#3 Cup	The PDT Cocktail Book	Orange	2	slices
PDT 212	212	The PDT Cocktail Book	Partida Reposado Tequila	2	oz
PDT 212	212	The PDT Cocktail Book	Ruby Red Grapefruit	2	oz
PDT 212	212	The PDT Cocktail Book	Aperol Liqueur	1	oz
PDT 212	212	The PDT Cocktail Book	Orange	1	twist
PDT 20th Century	20th Century	The PDT Cocktail Book	Plymouth Gin	1.5	oz
PDT 20th Century	20th Century	The PDT Cocktail Book	Marie Brizard White Crème de Cacao Liqueur	.75	oz
PDT 20th Century	20th Century	The PDT Cocktail Book	Lillet Blanc Aperitif Wine	.75	oz
PDT 20th Century	20th Century	The PDT Cocktail Book	Lemon	.75	oz
PDT 21st Century	21st Century	The PDT Cocktail Book	Siete Leguas Blanco Tequila	2	oz
PDT 21st Century	21st Century	The PDT Cocktail Book	Marie Brizard White Crème de Cacao Liqueur	.75	oz
PDT 21st Century	21st Century	The PDT Cocktail Book	Lemon	.75	oz
PDT 21st Century	21st Century	The PDT Cocktail Book	Vieux Pontarlier Absinthe	1	rinse
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Elijah Craig 12-Year Bourbon Whiskey	1	oz
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Bek Se Ju “100-Year Wine”	1	oz
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Ssal-Yut Rice Syrup	.25	oz
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Fee Brothers Old Fashion Bitters	2	dash
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Tonic	2	oz
PDT 100 Year Punch	100 Year Punch	The PDT Cocktail Book	Nutmeg	1	grating
PDT Absinthe Drip	Absinthe Drip	The PDT Cocktail Book	Vieux Pontarlier Absinthe	1.5	oz
PDT Absinthe Drip	Absinthe Drip	The PDT Cocktail Book	Water	5	oz
PDT Absinthe Drip	Absinthe Drip	The PDT Cocktail Book	Sugar Cube	1	unit
PDT Against All Odds Cocktail	Against All Odds Cocktail	The PDT Cocktail Book	Bushmills Irish Whiskey	1.5	oz
PDT Against All Odds Cocktail	Against All Odds Cocktail	The PDT Cocktail Book	Channing Daughters Scuttlehole Chardonnay Wine	1.5	oz
PDT Against All Odds Cocktail	Against All Odds Cocktail	The PDT Cocktail Book	Rothman & Winter Orchard Apricot Liqueur	.5	oz
PDT Against All Odds Cocktail	Against All Odds Cocktail	The PDT Cocktail Book	Rhum Clément Créole Shrubb	.25	oz
PDT Against All Odds Cocktail	Against All Odds Cocktail	The PDT Cocktail Book	Ilegal Reposado Mezcal	1	rinse
PDT Águil A Azteca	Águil A Azteca	The PDT Cocktail Book	Jose Cuervo Tradicional Reposado Tequila	1.5	oz
PDT Águil A Azteca	Águil A Azteca	The PDT Cocktail Book	Honeydew Melon	1	oz
PDT Águil A Azteca	Águil A Azteca	The PDT Cocktail Book	Ginger	.25	oz
PDT Águil A Azteca	Águil A Azteca	The PDT Cocktail Book	Rothman & Winter Crème de Violette Liqueur	.25	oz
PDT Airmail	Airmail	The PDT Cocktail Book	Banks 5 Island Rum	1	oz
PDT Airmail	Airmail	The PDT Cocktail Book	Lime	.5	oz
PDT Airmail	Airmail	The PDT Cocktail Book	Honey Syrup	.5	oz
PDT Airmail	Airmail	The PDT Cocktail Book	Moët Imperial Champagne	1	oz
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	Plymouth Gin	1.5	oz
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	Lillet Blanc Aperitif Wine	.75	oz
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	Green Chartreuse Liqueur	.75	oz
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	St-Germain Elderflower Liqueur	1	barspoon
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	Orange Bitters	1	dash
PDT Albert Mathieu	Albert Mathieu	The PDT Cocktail Book	Orange	1	twist
PDT Americano Highball	Americano Highball	The PDT Cocktail Book	Carpano Antica Formula Sweet Vermouth	1.5	oz
PDT Americano Highball	Americano Highball	The PDT Cocktail Book	Campari Liqueur	1.5	oz
PDT Americano Highball	Americano Highball	The PDT Cocktail Book	Club Soda	2.5	oz
PDT Algonquin	Algonquin	The PDT Cocktail Book	Rittenhouse Bonded Rye Whiskey	2	oz
PDT Algonquin	Algonquin	The PDT Cocktail Book	Dolin Dry Vermouth	.75	oz
PDT Algonquin	Algonquin	The PDT Cocktail Book	Pineapple	.75	oz
PDT Aperol Spritz	Aperol Spritz	The PDT Cocktail Book	Aperol Liqueur	2	oz
PDT Aperol Spritz	Aperol Spritz	The PDT Cocktail Book	Prosecco	1	oz
PDT Aperol Spritz	Aperol Spritz	The PDT Cocktail Book	Club Soda	1	oz
PDT Aperol Spritz	Aperol Spritz	The PDT Cocktail Book	Orange	.5	oz
PDT Apple Daiquiri	Apple Daiquiri	The PDT Cocktail Book	Flor de Caña Silver Dry Rum	2	oz
PDT Apple Daiquiri	Apple Daiquiri	The PDT Cocktail Book	Lime	.75	oz
PDT Apple Daiquiri	Apple Daiquiri	The PDT Cocktail Book	Schönauer Apfel Schnapps Liqueur	.5	oz
PDT Apple Daiquiri	Apple Daiquiri	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Applejack Rabbit	Applejack Rabbit	The PDT Cocktail Book	Laird’s Bonded Apple Brandy	2	oz
PDT Applejack Rabbit	Applejack Rabbit	The PDT Cocktail Book	Lemon	.75	oz
PDT Applejack Rabbit	Applejack Rabbit	The PDT Cocktail Book	Orange	.75	oz
PDT Applejack Rabbit	Applejack Rabbit	The PDT Cocktail Book	Grade B Maple Syrup	.5	oz
PDT Apple Malt Toddy	Apple Malt Toddy	The PDT Cocktail Book	Apple	2	oz
PDT Apple Malt Toddy	Apple Malt Toddy	The PDT Cocktail Book	Chivas Regal 12-Year Blended Scotch Whisky	1.5	oz
PDT Apple Malt Toddy	Apple Malt Toddy	The PDT Cocktail Book	Drouhin Pommeau Liqueur	1	oz
PDT Apple Malt Toddy	Apple Malt Toddy	The PDT Cocktail Book	St. Elizabeth Allspice Dram Liqueur	.25	oz
PDT Apple Malt Toddy	Apple Malt Toddy	The PDT Cocktail Book	Grade B Maple Syrup	1	barspoon
PDT Apricot Flip	Apricot Flip	The PDT Cocktail Book	Hine V.S.O.P. Cognac	2	oz
PDT Apricot Flip	Apricot Flip	The PDT Cocktail Book	Rothman & Winter Orchard Apricot Liqueur	.75	oz
PDT Apricot Flip	Apricot Flip	The PDT Cocktail Book	Simple Syrup	.5	oz
PDT Apricot Flip	Apricot Flip	The PDT Cocktail Book	Egg	1	entire
PDT Apricot Flip	Apricot Flip	The PDT Cocktail Book	Nutmeg	1	grating
PDT Archangel	Archangel	The PDT Cocktail Book	Plymouth Gin	2	oz
PDT Archangel	Archangel	The PDT Cocktail Book	Aperol Liqueur	.75	oz
PDT Archangel	Archangel	The PDT Cocktail Book	Cucumber	2	slices
PDT Archangel	Archangel	The PDT Cocktail Book	Lemon	2	twist
PDT Astoria Bianco	Astoria Bianco	The PDT Cocktail Book	Tanqueray No. 10 Gin	2.5	oz
PDT Astoria Bianco	Astoria Bianco	The PDT Cocktail Book	Martini Bianco Vermouth	1	oz
PDT Astoria Bianco	Astoria Bianco	The PDT Cocktail Book	House Orange Bitters	2	dash
PDT Astoria Bianco	Astoria Bianco	The PDT Cocktail Book	Orange	1	twist
PDT Aviation	Aviation	The PDT Cocktail Book	Beefeater London Dry Gin	2	oz
PDT Aviation	Aviation	The PDT Cocktail Book	Lemon	.75	oz
PDT Aviation	Aviation	The PDT Cocktail Book	Luxardo Maraschino Liqueur	.5	oz
PDT Aviation	Aviation	The PDT Cocktail Book	Rothman & Winter Crème de Violette Liqueur	.25	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Mount Gay Eclipse Amber Rum	1	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Flor de Caña Silver Dry Rum	1	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Pineapple	1	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Lime	.75	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Rothman & Winter Orchard Apricot Liqueur	.5	oz
PDT Beachbum	Beachbum	The PDT Cocktail Book	Orgeat	.5	oz
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Sombra Mezcal	1	oz
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Lime	.75	oz
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Bitter Truth Celery Bitters	1	dash
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Cholula	4	dash
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Victory Pilsner	6	oz
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Orange	1	grating
PDT Beer And A Smoke	Beer And A Smoke	The PDT Cocktail Book	Lime	1	grating
PDT Beer Cassis	Beer Cassis	The PDT Cocktail Book	Dubonnet Rouge Aperitif Wine	1	oz
PDT Beer Cassis	Beer Cassis	The PDT Cocktail Book	Theuriet Crème de Cassis Liqueur	.25	oz
PDT Beer Cassis	Beer Cassis	The PDT Cocktail Book	Lemon	1	twist
PDT Beer Cassis	Beer Cassis	The PDT Cocktail Book	Brooklyn Brewery Local 1	.25	oz
PDT Bee’s Knees	Bee’s Knees	The PDT Cocktail Book	Plymouth Gin	2	oz
PDT Bee’s Knees	Bee’s Knees	The PDT Cocktail Book	Lemon	.75	oz
PDT Bee’s Knees	Bee’s Knees	The PDT Cocktail Book	Honey Syrup	.75	oz
PDT Bee’s Sip	Bee’s Sip	The PDT Cocktail Book	Chamomile-Infused Barsol Quebranta Pisco	2.5	oz
PDT Bee’s Sip	Bee’s Sip	The PDT Cocktail Book	Masumi “Okuden” Junmai Sake	1	oz
PDT Bee’s Sip	Bee’s Sip	The PDT Cocktail Book	Bärenjäger Liqueur	.5	oz
PDT Bee’s Sip	Bee’s Sip	The PDT Cocktail Book	St-Germain Elderflower Liqueur	1	rinse
PDT Bee’s Sip	Bee’s Sip	The PDT Cocktail Book	Lemon	1	twist
